id,policy_type,accident_type,claim_severity_level,vehicle_category,area_type,vehicle_damage_score,accident_impact_score,repair_risk_index,injury_severity_prob,overall_claim_risk,agent_name,policy_number,claim_date,random_noise,claim_description,claim_amount
10528,A,Fire,Medium,Truck,Rural,0.801,0.17,0.509,0.779,0.675,Ramesh,PN31629,2023-06-12,0.062,Moderate fire causing body and light damage,45995
10529,A,Theft,Medium,SUV,Urban,0.375,0.676,0.578,0.473,0.495,Rahul,PN71463,2023-06-13,0.871,Moderate theft causing body and light damage,35181
10530,C,Theft,High,Sedan,Urban,0.826,0.707,0.762,0.8,0.79,Amit,PN56007,2023-06-14,0.185,Severe theft with major damage and possible injuries,61765
10531,C,Collision,Medium,SUV,Urban,0.631,0.24,0.523,0.579,0.567,Ramesh,PN28128,2023-06-15,0.225,Moderate collision causing body and light damage,49913
10532,C,Theft,Medium,SUV,Urban,0.533,0.174,0.396,0.496,0.463,Suresh,PN12039,2023-06-16,0.661,Moderate theft causing body and light damage,36506
10533,C,Collision,Medium,Sedan,Urban,0.596,0.364,0.508,0.359,0.466,Rahul,PN13857,2023-06-17,0.469,Moderate collision causing body and light damage,46258
10534,B,Collision,Medium,SUV,Urban,0.579,0.385,0.536,0.111,0.374,Rahul,PN69019,2023-06-18,0.499,Moderate collision causing body and light damage,37275
10535,C,Collision,Medium,SUV,Urban,0.844,0.738,0.808,0.343,0.629,Neha,PN80486,2023-06-19,0.128,Moderate collision causing body and light damage,64922
10536,C,Fire,Low,Sedan,Urban,0.385,0.396,0.266,0.191,0.26,Suresh,PN99007,2023-06-20,0.806,Minor fire with small damage,43759
10537,C,Collision,Medium,SUV,Rural,0.447,0.336,0.367,0.642,0.493,Suresh,PN90977,2023-06-21,0.617,Moderate collision causing body and light damage,39746
10538,A,Collision,Medium,SUV,Urban,0.807,0.397,0.662,0.207,0.509,Anjali,PN22735,2023-06-22,0.135,Moderate collision causing body and light damage,41682
10539,B,Collision,Medium,Truck,Urban,0.481,0.83,0.615,0.415,0.508,Anjali,PN97951,2023-06-23,0.374,Moderate collision causing body and light damage,50245
10540,A,Collision,Medium,Sedan,Urban,0.78,0.553,0.656,0.545,0.636,Rahul,PN44511,2023-06-24,0.81,Moderate collision causing body and light damage,47722
10541,C,Theft,Medium,Sedan,Urban,0.94,0.505,0.67,0.186,0.531,Priya,PN56051,2023-06-25,0.568,Moderate theft causing body and light damage,48399
10542,B,Theft,Medium,SUV,Urban,0.52,0.522,0.61,0.396,0.506,Kunal,PN62693,2023-06-26,0.109,Moderate theft causing body and light damage,36796
10543,A,Theft,Medium,Sedan,Urban,0.736,0.873,0.889,0.274,0.612,Anjali,PN79152,2023-06-27,0.373,Moderate theft causing body and light damage,45323
10544,B,Collision,Medium,SUV,Rural,0.369,0.363,0.322,0.463,0.388,Amit,PN90919,2023-06-28,0.243,Moderate collision causing body and light damage,31721
10545,B,Collision,Medium,SUV,Rural,0.751,0.879,0.822,0.15,0.539,Neha,PN39756,2023-06-29,0.517,Moderate collision causing body and light damage,50958
10546,A,Collision,Medium,Sedan,Urban,0.64,0.603,0.587,0.821,0.691,Suresh,PN13894,2023-06-30,0.843,Moderate collision causing body and light damage,49667
10547,A,Collision,Medium,SUV,Urban,0.695,0.51,0.633,0.469,0.58,Neha,PN53232,2023-07-01,0.436,Moderate collision causing body and light damage,45847
10548,B,Collision,High,SUV,Urban,0.471,1.0,0.761,0.805,0.721,Rahul,PN63214,2023-07-02,0.433,Severe collision with major damage and possible injuries,59701
10549,B,Theft,Medium,Sedan,Rural,0.268,0.286,0.318,0.588,0.416,Amit,PN79817,2023-07-03,0.905,Moderate theft causing body and light damage,23632
10550,C,Collision,Medium,Truck,Rural,0.701,0.462,0.598,0.277,0.49,Ramesh,PN73862,2023-07-04,0.576,Moderate collision causing body and light damage,45205
10551,B,Collision,Medium,Truck,Urban,0.187,0.242,0.361,0.583,0.415,Suresh,PN40036,2023-07-05,0.566,Moderate collision causing body and light damage,30213
10552,C,Collision,Medium,SUV,Urban,0.537,0.788,0.611,0.673,0.621,Amit,PN28584,2023-07-06,0.262,Moderate collision causing body and light damage,61002
10553,B,Collision,High,SUV,Rural,0.788,0.972,0.795,0.603,0.717,Kunal,PN42308,2023-07-07,0.608,Severe collision with major damage and possible injuries,59099
10554,B,Collision,Medium,SUV,Urban,0.638,0.967,0.783,0.417,0.608,Neha,PN38333,2023-07-08,0.576,Moderate collision causing body and light damage,57901
10555,C,Fire,Medium,Truck,Urban,0.99,0.856,0.844,0.219,0.623,Rahul,PN45949,2023-07-09,0.397,Moderate fire causing body and light damage,89203
10556,B,Theft,Medium,SUV,Urban,0.805,0.501,0.578,0.595,0.63,Amit,PN94795,2023-07-10,0.991,Moderate theft causing body and light damage,43169
10557,A,Fire,Medium,SUV,Urban,0.469,0.459,0.414,0.551,0.48,Ramesh,PN49288,2023-07-11,0.882,Moderate fire causing body and light damage,45895
10558,A,Collision,Medium,Truck,Rural,0.605,0.132,0.323,0.31,0.374,Anjali,PN88588,2023-07-12,0.75,Moderate collision causing body and light damage,27544
10559,C,Collision,Medium,Sedan,Rural,0.591,1.0,0.748,0.169,0.485,Anjali,PN87807,2023-07-13,0.537,Moderate collision causing body and light damage,52910
10560,B,Collision,Medium,Truck,Urban,0.284,0.667,0.501,0.515,0.463,Amit,PN55267,2023-07-14,0.462,Moderate collision causing body and light damage,40794
10561,B,Collision,Low,Sedan,Urban,0.412,0.427,0.394,0.211,0.324,Rahul,PN42175,2023-07-15,0.185,Minor collision with small damage,34981
10562,A,Theft,Medium,Sedan,Urban,0.488,0.882,0.676,0.301,0.488,Neha,PN18915,2023-07-16,0.306,Moderate theft causing body and light damage,38193
10563,A,Collision,Medium,Sedan,Urban,0.193,0.307,0.294,0.571,0.385,Suresh,PN91658,2023-07-17,0.774,Moderate collision causing body and light damage,25792
10564,A,Collision,Medium,Truck,Urban,0.609,0.652,0.592,0.186,0.433,Kunal,PN82454,2023-07-18,0.454,Moderate collision causing body and light damage,37557
10565,A,Collision,Medium,Truck,Urban,0.55,0.507,0.515,0.118,0.363,Kunal,PN69722,2023-07-19,0.882,Moderate collision causing body and light damage,34737
10566,B,Collision,Low,SUV,Urban,0.265,0.71,0.506,0.09,0.292,Suresh,PN75298,2023-07-20,0.148,Minor collision with small damage,36270
10567,A,Theft,Medium,SUV,Urban,0.681,0.534,0.51,0.528,0.552,Priya,PN23805,2023-07-21,0.508,Moderate theft causing body and light damage,34933
10568,B,Collision,Medium,SUV,Urban,0.743,0.187,0.346,0.531,0.5,Neha,PN95134,2023-07-22,0.647,Moderate collision causing body and light damage,39529
10569,C,Collision,Medium,Truck,Urban,0.645,0.569,0.624,0.334,0.513,Kunal,PN50517,2023-07-23,0.517,Moderate collision causing body and light damage,54524
10570,A,Collision,Medium,SUV,Urban,0.535,0.812,0.698,0.614,0.632,Priya,PN64716,2023-07-24,0.889,Moderate collision causing body and light damage,49143
10571,B,Collision,Medium,Sedan,Urban,0.718,0.543,0.734,0.323,0.566,Priya,PN12871,2023-07-25,0.99,Moderate collision causing body and light damage,47171
10572,C,Theft,Medium,Sedan,Rural,0.736,0.744,0.748,0.342,0.583,Rahul,PN47375,2023-07-26,0.116,Moderate theft causing body and light damage,46214
10573,A,Fire,Medium,SUV,Urban,0.661,0.289,0.516,0.307,0.462,Rahul,PN55741,2023-07-27,0.13,Moderate fire causing body and light damage,44808
10574,B,Fire,Low,SUV,Urban,0.435,0.543,0.479,0.083,0.312,Rahul,PN33148,2023-07-28,0.13,Minor fire with small damage,46050
10575,C,Theft,Medium,Sedan,Rural,0.655,0.394,0.539,0.27,0.455,Ramesh,PN15834,2023-07-29,0.681,Moderate theft causing body and light damage,37482
10576,C,Collision,Medium,Sedan,Rural,0.839,0.737,0.871,0.109,0.56,Neha,PN52680,2023-07-30,0.373,Moderate collision causing body and light damage,58345
10577,A,Theft,Medium,Truck,Urban,0.481,0.558,0.413,0.248,0.36,Suresh,PN13399,2023-07-31,0.733,Moderate theft causing body and light damage,28662
10578,C,Collision,High,Sedan,Rural,1.0,0.723,0.882,0.557,0.776,Neha,PN74091,2023-08-01,0.405,Severe collision with major damage and possible injuries,66429
10579,B,Collision,Medium,SUV,Urban,0.495,0.822,0.765,0.067,0.432,Rahul,PN31762,2023-08-02,0.628,Moderate collision causing body and light damage,46737
10580,A,Theft,Medium,Truck,Urban,0.606,0.723,0.679,0.264,0.498,Ramesh,PN61009,2023-08-03,0.77,Moderate theft causing body and light damage,38272
10581,B,Collision,Medium,Sedan,Urban,0.466,0.618,0.624,0.258,0.446,Neha,PN86493,2023-08-04,0.548,Moderate collision causing body and light damage,42194
10582,C,Fire,Medium,Sedan,Urban,0.645,0.3,0.441,0.487,0.5,Neha,PN61548,2023-08-05,0.54,Moderate fire causing body and light damage,59555
10583,B,Collision,Low,SUV,Urban,0.252,0.549,0.399,0.198,0.289,Priya,PN38340,2023-08-06,0.088,Minor collision with small damage,32919
10584,A,Theft,Medium,Truck,Urban,0.491,0.417,0.455,0.537,0.495,Neha,PN71365,2023-08-07,0.411,Moderate theft causing body and light damage,30980
10585,B,Theft,Low,SUV,Urban,0.382,0.464,0.312,0.219,0.289,Priya,PN91344,2023-08-08,0.546,Minor theft with small damage,26610
10586,A,Fire,Medium,Truck,Urban,0.627,0.456,0.483,0.59,0.555,Priya,PN69790,2023-08-09,0.462,Moderate fire causing body and light damage,49021
10587,A,Theft,Medium,Sedan,Urban,0.799,0.305,0.497,0.512,0.563,Amit,PN77797,2023-08-10,0.901,Moderate theft causing body and light damage,33795
10588,A,Theft,Medium,SUV,Urban,0.729,0.061,0.436,0.408,0.484,Rahul,PN21809,2023-08-11,0.907,Moderate theft causing body and light damage,28244
10589,A,Collision,Low,SUV,Urban,0.126,0.383,0.298,0.287,0.259,Kunal,PN27696,2023-08-12,0.822,Minor collision with small damage,21167
10590,A,Collision,Medium,Truck,Rural,1.0,0.598,0.815,0.138,0.581,Ramesh,PN61457,2023-08-13,0.375,Moderate collision causing body and light damage,45029
10591,A,Collision,Medium,Sedan,Rural,0.659,0.213,0.477,0.36,0.467,Priya,PN31891,2023-08-14,0.717,Moderate collision causing body and light damage,32680
10592,B,Theft,Medium,Truck,Rural,0.445,0.554,0.491,0.6,0.526,Neha,PN69151,2023-08-15,0.395,Moderate theft causing body and light damage,34063
10593,A,Collision,Medium,SUV,Urban,0.631,1.0,0.876,0.183,0.55,Priya,PN94661,2023-08-16,0.233,Moderate collision causing body and light damage,50511
10594,A,Theft,Medium,Sedan,Rural,0.635,0.806,0.721,0.611,0.66,Priya,PN73008,2023-08-17,0.343,Moderate theft causing body and light damage,38774
10595,C,Collision,Medium,Sedan,Urban,0.467,0.961,0.717,0.631,0.633,Priya,PN62488,2023-08-18,0.071,Moderate collision causing body and light damage,62996
10596,B,Collision,Medium,Truck,Urban,0.64,0.648,0.63,0.21,0.464,Suresh,PN66632,2023-08-19,0.332,Moderate collision causing body and light damage,46758
10597,B,Theft,Medium,Sedan,Urban,0.479,0.842,0.694,0.407,0.536,Kunal,PN76533,2023-08-20,0.461,Moderate theft causing body and light damage,44703
10598,A,Collision,Medium,Sedan,Urban,0.519,0.369,0.423,0.761,0.577,Kunal,PN81889,2023-08-21,0.955,Moderate collision causing body and light damage,39406
10599,A,Collision,Medium,Sedan,Urban,0.463,0.389,0.475,0.255,0.384,Suresh,PN94239,2023-08-22,0.313,Moderate collision causing body and light damage,33429
10600,A,Collision,Low,Truck,Urban,0.313,0.0,0.1,0.544,0.32,Suresh,PN67942,2023-08-23,0.902,Minor collision with small damage,20359
10601,A,Fire,Medium,SUV,Rural,0.629,0.847,0.683,0.185,0.473,Suresh,PN19275,2023-08-24,0.229,Moderate fire causing body and light damage,52089
10602,A,Theft,Medium,SUV,Urban,0.717,0.935,0.86,0.368,0.635,Kunal,PN29965,2023-08-25,0.191,Moderate theft causing body and light damage,43405
10603,A,Collision,Medium,Sedan,Urban,0.703,0.412,0.553,0.235,0.456,Amit,PN45854,2023-08-26,0.519,Moderate collision causing body and light damage,38170
10604,A,Collision,Medium,SUV,Rural,0.764,0.487,0.603,0.387,0.549,Priya,PN25973,2023-08-27,0.673,Moderate collision causing body and light damage,39811
10605,A,Collision,Medium,SUV,Urban,0.665,0.362,0.558,0.594,0.594,Amit,PN99086,2023-08-28,0.044,Moderate collision causing body and light damage,42160
10606,B,Theft,Medium,Truck,Urban,0.493,0.646,0.539,0.376,0.465,Neha,PN36878,2023-08-29,0.221,Moderate theft causing body and light damage,38162
10607,A,Theft,Medium,Truck,Urban,0.768,0.831,0.79,0.367,0.616,Kunal,PN27105,2023-08-30,0.456,Moderate theft causing body and light damage,44121
10608,A,Collision,Low,Sedan,Urban,0.328,0.114,0.291,0.197,0.261,Rahul,PN74746,2023-08-31,0.331,Minor collision with small damage,22274
10609,B,Collision,Medium,SUV,Urban,0.42,0.652,0.613,0.724,0.619,Kunal,PN91565,2023-09-01,0.713,Moderate collision causing body and light damage,49256
10610,B,Collision,Medium,Sedan,Urban,0.407,0.481,0.523,0.784,0.604,Ramesh,PN49935,2023-09-02,0.511,Moderate collision causing body and light damage,43372
10611,A,Theft,Medium,SUV,Urban,0.816,0.578,0.683,0.474,0.626,Amit,PN42784,2023-09-03,0.16,Moderate theft causing body and light damage,39722
10612,C,Theft,High,Sedan,Urban,0.789,0.665,0.788,0.826,0.803,Suresh,PN41601,2023-09-04,0.894,Severe theft with major damage and possible injuries,59442
10613,B,Collision,Medium,Sedan,Urban,0.697,0.503,0.553,0.554,0.582,Anjali,PN49865,2023-09-05,0.293,Moderate collision causing body and light damage,48297
10614,A,Collision,Medium,Sedan,Urban,0.814,0.524,0.624,0.047,0.431,Suresh,PN88701,2023-09-06,0.731,Moderate collision causing body and light damage,38971
10615,C,Collision,Low,SUV,Urban,0.424,0.497,0.343,0.146,0.28,Neha,PN28616,2023-09-07,0.78,Minor collision with small damage,38814
10616,C,Fire,Medium,Sedan,Rural,0.67,0.793,0.815,0.268,0.567,Priya,PN21654,2023-09-08,0.963,Moderate fire causing body and light damage,71201
10617,A,Collision,Medium,SUV,Urban,0.575,0.655,0.572,0.51,0.548,Ramesh,PN27830,2023-09-09,0.499,Moderate collision causing body and light damage,43116
10618,A,Theft,Medium,Sedan,Urban,0.769,0.605,0.681,0.094,0.464,Amit,PN26205,2023-09-10,0.616,Moderate theft causing body and light damage,39531
10619,C,Theft,Medium,Sedan,Urban,0.577,0.232,0.359,0.437,0.434,Priya,PN52425,2023-09-11,0.335,Moderate theft causing body and light damage,34379
10620,B,Collision,Medium,SUV,Urban,0.523,0.455,0.524,0.621,0.562,Priya,PN87495,2023-09-12,0.678,Moderate collision causing body and light damage,43845
10621,A,Collision,Medium,Sedan,Urban,0.708,0.775,0.723,0.303,0.552,Rahul,PN97694,2023-09-13,0.463,Moderate collision causing body and light damage,47204
10622,A,Collision,Medium,Sedan,Urban,0.775,0.559,0.602,0.423,0.565,Rahul,PN87355,2023-09-14,0.438,Moderate collision causing body and light damage,44761
10623,A,Theft,Medium,SUV,Rural,0.466,0.715,0.613,0.478,0.53,Amit,PN45851,2023-09-15,0.855,Moderate theft causing body and light damage,32389
10624,B,Theft,Medium,Sedan,Rural,0.588,0.992,0.718,0.476,0.595,Amit,PN16952,2023-09-16,0.05,Moderate theft causing body and light damage,41539
10625,B,Theft,Medium,Sedan,Urban,0.388,0.81,0.557,0.295,0.419,Amit,PN99761,2023-09-17,0.882,Moderate theft causing body and light damage,36669
10626,A,Collision,Low,Sedan,Rural,0.1,0.573,0.231,0.579,0.344,Amit,PN57405,2023-09-18,0.852,Minor collision with small damage,25521
10627,B,Collision,Medium,Truck,Urban,0.64,0.422,0.46,0.292,0.429,Suresh,PN15391,2023-09-19,0.506,Moderate collision causing body and light damage,41960
10628,B,Fire,Medium,SUV,Urban,0.722,0.0,0.37,0.422,0.461,Kunal,PN90004,2023-09-20,0.49,Moderate fire causing body and light damage,46545
10629,A,Theft,Medium,SUV,Urban,0.652,0.508,0.482,0.364,0.469,Kunal,PN72468,2023-09-21,0.362,Moderate theft causing body and light damage,34833
10630,A,Collision,Low,SUV,Urban,0.21,0.468,0.265,0.307,0.271,Priya,PN25091,2023-09-22,0.994,Minor collision with small damage,25336
10631,B,Fire,Medium,Sedan,Rural,0.53,0.648,0.589,0.437,0.516,Kunal,PN40237,2023-09-23,0.111,Moderate fire causing body and light damage,51731
10632,C,Theft,Medium,Sedan,Urban,0.156,0.512,0.307,0.674,0.424,Anjali,PN68353,2023-09-24,0.59,Moderate theft causing body and light damage,33387
10633,B,Collision,Medium,SUV,Urban,0.874,0.47,0.772,0.095,0.521,Priya,PN84500,2023-09-25,0.682,Moderate collision causing body and light damage,51860
10634,B,Theft,Medium,Sedan,Rural,0.383,0.105,0.336,0.362,0.355,Suresh,PN50682,2023-09-26,0.934,Moderate theft causing body and light damage,22023
10635,A,Theft,Medium,Sedan,Urban,0.851,0.315,0.54,0.139,0.442,Anjali,PN59634,2023-09-27,0.78,Moderate theft causing body and light damage,30946
10636,B,Theft,Medium,Sedan,Urban,0.789,0.669,0.757,0.094,0.498,Kunal,PN36968,2023-09-28,0.644,Moderate theft causing body and light damage,42694
10637,B,Collision,Medium,Sedan,Urban,0.42,0.979,0.737,0.215,0.465,Priya,PN64833,2023-09-29,0.117,Moderate collision causing body and light damage,50850
10638,A,Collision,Medium,Truck,Rural,0.373,0.526,0.42,0.718,0.53,Amit,PN50205,2023-09-30,0.374,Moderate collision causing body and light damage,34701
10639,A,Fire,Medium,Sedan,Rural,0.67,0.632,0.576,0.437,0.539,Ramesh,PN86907,2023-10-01,0.139,Moderate fire causing body and light damage,49256
10640,A,Collision,Medium,SUV,Urban,0.431,0.788,0.609,0.296,0.448,Kunal,PN52541,2023-10-02,0.881,Moderate collision causing body and light damage,41754
10641,A,Collision,Medium,Sedan,Urban,0.62,0.347,0.475,0.259,0.418,Anjali,PN38285,2023-10-03,0.75,Moderate collision causing body and light damage,32232
10642,A,Collision,Medium,Truck,Urban,0.503,0.642,0.551,0.512,0.526,Rahul,PN62513,2023-10-04,0.758,Moderate collision causing body and light damage,41558
10643,A,Collision,Low,Sedan,Rural,0.244,0.365,0.326,0.398,0.339,Anjali,PN25430,2023-10-05,0.652,Minor collision with small damage,25969
10644,A,Theft,Low,Sedan,Urban,0.154,0.766,0.423,0.294,0.317,Anjali,PN19033,2023-10-06,0.507,Minor theft with small damage,26507
10645,A,Fire,Medium,SUV,Urban,0.645,0.588,0.559,0.132,0.406,Rahul,PN29918,2023-10-07,0.15,Moderate fire causing body and light damage,47667
10646,C,Collision,Medium,SUV,Rural,0.488,0.625,0.562,0.198,0.401,Priya,PN28256,2023-10-08,0.33,Moderate collision causing body and light damage,41191
10647,B,Collision,Medium,Sedan,Urban,0.489,0.354,0.441,0.709,0.558,Ramesh,PN58522,2023-10-09,0.137,Moderate collision causing body and light damage,43337
10648,B,Collision,Medium,Sedan,Urban,0.739,0.727,0.674,0.437,0.592,Rahul,PN74353,2023-10-10,0.725,Moderate collision causing body and light damage,52611
10649,C,Fire,Medium,Sedan,Urban,0.835,1.0,0.964,0.228,0.643,Kunal,PN41188,2023-10-11,0.16,Moderate fire causing body and light damage,90897
10650,B,Theft,Medium,Sedan,Rural,0.545,0.298,0.333,0.483,0.436,Ramesh,PN65134,2023-10-12,0.702,Moderate theft causing body and light damage,28788
10651,A,Collision,Medium,Sedan,Urban,0.532,0.465,0.47,0.581,0.527,Anjali,PN62657,2023-10-13,0.692,Moderate collision causing body and light damage,40475
10652,B,Theft,Medium,SUV,Urban,0.7,0.608,0.641,0.259,0.5,Suresh,PN46088,2023-10-14,0.459,Moderate theft causing body and light damage,40559
10653,B,Fire,Medium,Sedan,Urban,0.329,0.747,0.506,0.321,0.396,Neha,PN24979,2023-10-15,0.135,Moderate fire causing body and light damage,50641
10654,B,Theft,Medium,Sedan,Urban,0.645,0.41,0.499,0.357,0.471,Priya,PN78264,2023-10-16,0.315,Moderate theft causing body and light damage,35922
10655,B,Fire,Medium,SUV,Urban,0.71,0.0,0.449,0.174,0.391,Suresh,PN60106,2023-10-17,0.32,Moderate fire causing body and light damage,43347
10656,A,Collision,Medium,Truck,Urban,0.736,0.89,0.77,0.432,0.628,Suresh,PN11595,2023-10-18,0.7,Moderate collision causing body and light damage,51944
10657,A,Theft,Medium,SUV,Rural,0.213,0.74,0.598,0.191,0.358,Ramesh,PN42624,2023-10-19,0.114,Moderate theft causing body and light damage,25886
10658,A,Collision,Low,Sedan,Urban,0.448,0.114,0.303,0.107,0.253,Priya,PN77824,2023-10-20,0.829,Minor collision with small damage,21882
10659,B,Theft,Low,Sedan,Urban,0.424,0.398,0.416,0.191,0.328,Suresh,PN50431,2023-10-21,0.761,Minor theft with small damage,27292
10660,B,Theft,Medium,Truck,Urban,0.62,0.942,0.805,0.418,0.613,Amit,PN27127,2023-10-22,0.186,Moderate theft causing body and light damage,49596
10661,A,Theft,Medium,Sedan,Urban,0.696,0.912,0.931,0.216,0.598,Suresh,PN27878,2023-10-23,0.719,Moderate theft causing body and light damage,44126
10662,C,Theft,Medium,Sedan,Rural,0.899,0.785,0.792,0.328,0.628,Amit,PN82480,2023-10-24,0.669,Moderate theft causing body and light damage,51036
10663,B,Collision,Medium,SUV,Urban,0.501,0.506,0.447,0.361,0.424,Neha,PN70690,2023-10-25,0.748,Moderate collision causing body and light damage,38929
10664,A,Collision,Medium,SUV,Urban,0.5,0.571,0.498,0.141,0.356,Amit,PN87838,2023-10-26,0.189,Moderate collision causing body and light damage,35276
10665,A,Fire,High,SUV,Urban,0.83,0.517,0.675,0.865,0.782,Amit,PN66360,2023-10-27,0.158,Severe fire with major damage and possible injuries,64182
10666,A,Fire,Medium,Sedan,Urban,0.659,0.832,0.659,0.297,0.515,Ramesh,PN10207,2023-10-28,0.236,Moderate fire causing body and light damage,57676
10667,A,Collision,Medium,Sedan,Urban,0.854,0.331,0.593,0.556,0.63,Suresh,PN11083,2023-10-29,0.366,Moderate collision causing body and light damage,45905
10668,A,Collision,Medium,Truck,Urban,0.658,0.349,0.588,0.344,0.504,Neha,PN61564,2023-10-30,0.794,Moderate collision causing body and light damage,40548
10669,A,Collision,Medium,Sedan,Rural,0.369,0.803,0.593,0.589,0.547,Suresh,PN13311,2023-10-31,0.738,Moderate collision causing body and light damage,37061
10670,A,Theft,Medium,SUV,Rural,0.333,0.539,0.422,0.603,0.477,Kunal,PN33135,2023-11-01,0.925,Moderate theft causing body and light damage,27829
10671,A,Theft,Medium,SUV,Urban,0.29,0.895,0.561,0.431,0.455,Kunal,PN67109,2023-11-02,0.059,Moderate theft causing body and light damage,33635
10672,C,Collision,Medium,SUV,Rural,0.732,0.382,0.602,0.093,0.425,Amit,PN71354,2023-11-03,0.012,Moderate collision causing body and light damage,43485
10673,A,Collision,High,Sedan,Urban,0.838,0.536,0.646,0.718,0.713,Rahul,PN73647,2023-11-04,0.699,Severe collision with major damage and possible injuries,50133
10674,B,Theft,Medium,Sedan,Urban,0.97,0.319,0.737,0.222,0.578,Amit,PN69301,2023-11-05,0.279,Moderate theft causing body and light damage,42277
10675,B,Theft,Medium,SUV,Urban,0.769,0.552,0.757,0.142,0.513,Suresh,PN72233,2023-11-06,0.334,Moderate theft causing body and light damage,42181
10676,C,Collision,Medium,Truck,Urban,0.833,0.18,0.519,0.568,0.601,Anjali,PN92128,2023-11-07,0.547,Moderate collision causing body and light damage,52602
10677,A,Collision,Medium,Truck,Urban,0.484,0.428,0.455,0.407,0.442,Neha,PN56212,2023-11-08,0.102,Moderate collision causing body and light damage,35443
10678,A,Collision,Medium,Sedan,Urban,0.369,0.191,0.331,0.393,0.363,Rahul,PN99468,2023-11-09,0.643,Moderate collision causing body and light damage,26477
10679,C,Collision,Medium,Sedan,Urban,0.77,0.723,0.801,0.249,0.574,Neha,PN67776,2023-11-10,0.325,Moderate collision causing body and light damage,61702
10680,C,Collision,Medium,Truck,Urban,0.684,0.729,0.666,0.622,0.652,Ramesh,PN94576,2023-11-11,0.633,Moderate collision causing body and light damage,61092
10681,C,Theft,Low,SUV,Urban,0.621,0.117,0.343,0.163,0.327,Amit,PN81386,2023-11-12,0.834,Minor theft with small damage,29530
10682,A,Fire,Medium,Truck,Rural,0.677,0.883,0.714,0.397,0.58,Amit,PN61588,2023-11-13,0.171,Moderate fire causing body and light damage,58465
10683,A,Theft,Medium,Sedan,Urban,0.665,1.0,0.853,0.141,0.531,Kunal,PN41716,2023-11-14,0.931,Moderate theft causing body and light damage,42197
10684,B,Theft,Medium,SUV,Urban,0.857,0.562,0.742,0.571,0.697,Ramesh,PN88255,2023-11-15,0.531,Moderate theft causing body and light damage,46352
10685,C,Collision,High,SUV,Urban,0.859,0.39,0.557,0.813,0.72,Kunal,PN31777,2023-11-16,0.923,Severe collision with major damage and possible injuries,61004
10686,B,Collision,Medium,SUV,Urban,0.709,1.0,0.832,0.486,0.669,Suresh,PN59285,2023-11-17,0.208,Moderate collision causing body and light damage,61007
10687,B,Collision,Medium,Sedan,Rural,0.769,0.22,0.427,0.194,0.402,Amit,PN92558,2023-11-18,0.605,Moderate collision causing body and light damage,33987
10688,A,Collision,Medium,Sedan,Urban,0.703,0.555,0.584,0.563,0.599,Suresh,PN38788,2023-11-19,0.404,Moderate collision causing body and light damage,46489
10689,C,Theft,Medium,SUV,Urban,0.508,0.595,0.579,0.298,0.452,Neha,PN14019,2023-11-20,0.774,Moderate theft causing body and light damage,42959
10690,A,Fire,Medium,Sedan,Rural,0.751,0.886,0.782,0.23,0.555,Rahul,PN85018,2023-11-21,0.606,Moderate fire causing body and light damage,56237
10691,A,Collision,Medium,SUV,Urban,0.321,0.64,0.465,0.323,0.38,Rahul,PN56873,2023-11-22,0.495,Moderate collision causing body and light damage,34047
10692,B,Collision,Medium,Truck,Urban,0.811,0.425,0.537,0.096,0.415,Rahul,PN94116,2023-11-23,0.913,Moderate collision causing body and light damage,42305
10693,B,Theft,Medium,Sedan,Urban,0.361,0.312,0.346,0.719,0.498,Kunal,PN19895,2023-11-24,0.377,Moderate theft causing body and light damage,32045
10694,A,Collision,Medium,Truck,Rural,0.657,0.465,0.559,0.349,0.495,Priya,PN89671,2023-11-25,0.22,Moderate collision causing body and light damage,35675
10695,A,Collision,Medium,Sedan,Urban,0.431,0.298,0.328,0.447,0.396,Ramesh,PN59013,2023-11-26,0.608,Moderate collision causing body and light damage,28241
10696,B,Theft,Medium,SUV,Urban,0.711,0.562,0.627,0.731,0.685,Rahul,PN69570,2023-11-27,0.624,Moderate theft causing body and light damage,45035
10697,A,Theft,Medium,Truck,Urban,0.593,0.409,0.51,0.692,0.599,Amit,PN85923,2023-11-28,0.439,Moderate theft causing body and light damage,32947
10698,B,Collision,Low,Sedan,Urban,0.281,0.176,0.188,0.259,0.235,Ramesh,PN92895,2023-11-29,0.487,Minor collision with small damage,26323
10699,A,Collision,Medium,Sedan,Urban,0.684,0.864,0.7,0.389,0.573,Neha,PN57672,2023-11-30,0.96,Moderate collision causing body and light damage,47929
10700,B,Theft,Medium,Sedan,Urban,0.484,0.426,0.545,0.218,0.402,Neha,PN16121,2023-12-01,0.733,Moderate theft causing body and light damage,32498
10701,B,Collision,Medium,Sedan,Urban,0.776,0.233,0.473,0.622,0.593,Kunal,PN92445,2023-12-02,0.111,Moderate collision causing body and light damage,44823
10702,A,Collision,Medium,SUV,Rural,0.6,0.508,0.549,0.689,0.615,Neha,PN77863,2023-12-03,0.212,Moderate collision causing body and light damage,38709
10703,A,Theft,Medium,Truck,Rural,0.679,0.567,0.674,0.1,0.445,Neha,PN28930,2023-12-04,0.976,Moderate theft causing body and light damage,31196
